timestamp,Temp_5cm,SM_5cm,EC_5cm,Temp_15cm,SM_15cm,EC_15cm,RDP_15cm,Temp_50cm,SM_50cm,EC_50cm,RDP_50cm,Precipitation
2021-01-01 00:00:00,22.6,33.8,0.59,,,,,24.7,8.9,0.09,,0.0
2021-01-01 00:15:00,22.6,33.8,0.59,,,,,24.7,8.4,0.1,,0.0
2021-01-01 00:30:00,22.6,33.8,0.59,,,,,24.7,8.9,0.09,,0.0
2021-01-01 00:45:00,22.4,33.8,0.59,,,,,24.7,8.4,0.1,,0.0
2021-01-01 01:00:00,22.4,33.8,0.59,,,,,24.7,8.4,0.1,,0.0
2021-01-01 01:15:00,22.1,33.8,0.59,,,,,24.7,8.4,0.1,,0.0
2021-01-01 01:30:00,22.1,33.8,0.59,,,,,24.7,8.4,0.1,,0.0
2021-01-01 01:45:00,22.1,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 02:00:00,21.9,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 02:15:00,21.9,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 02:30:00,21.9,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 02:45:00,21.9,32.0,0.61,,,,,24.2,8.6,0.09,,0.0
2021-01-01 03:00:00,21.7,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 03:15:00,21.7,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 03:30:00,21.7,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 03:45:00,21.5,33.4,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 04:00:00,21.5,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 04:15:00,21.5,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 04:30:00,21.3,33.8,0.59,,,,,24.7,8.6,0.09,,0.0
2021-01-01 04:45:00,21.3,33.8,0.59,,,,,24.7,8.8,0.09,,0.0
2021-01-01 05:00:00,21.3,33.8,0.59,,,,,24.7,8.8,0.09,,0.0
2021-01-01 05:15:00,21.1,33.4,0.6,,,,,24.7,8.8,0.09,,0.0
2021-01-01 05:30:00,21.1,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 05:45:00,21.1,33.8,0.59,,,,,24.4,8.8,0.09,,0.0
2021-01-01 06:00:00,20.9,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 06:15:00,20.9,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 06:30:00,20.9,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 06:45:00,20.7,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 07:00:00,20.7,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 07:15:00,20.5,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 07:30:00,20.5,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 07:45:00,20.5,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 08:00:00,20.5,33.8,0.59,,,,,24.4,8.5,0.09,,0.2
2021-01-01 08:15:00,20.5,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 08:30:00,20.5,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
2021-01-01 08:45:00,20.7,33.8,0.59,,,,,24.4,8.5,0.09,,0.0
