timestamp,Temp_5cm,SM_5cm,RDP_5cm,Temp_15cm,SM_15cm,RDP_15cm,Temp_50cm,SM_50cm,RDP_50cm,Precipitation
2025-01-01 00:00:00,23.0,20.5,12.381,22.8,24.2,14.913,23.5,17.7,10.663,0.0
2025-01-01 00:15:00,23.0,20.5,12.381,22.8,24.2,14.913,23.5,17.7,10.663,0.0
2025-01-01 00:30:00,22.8,20.5,12.381,22.8,24.2,14.913,23.5,17.7,10.662,0.0
2025-01-01 00:45:00,22.8,20.5,12.381,22.8,24.2,14.911,23.5,17.7,10.662,0.0
2025-01-01 01:00:00,22.8,20.5,12.381,22.8,24.2,14.911,23.5,18.0,10.841,0.0
2025-01-01 01:15:00,22.8,20.5,12.381,22.8,24.2,14.911,23.5,18.0,10.84,0.0
2025-01-01 01:30:00,22.8,20.7,12.548,22.8,24.2,14.911,23.5,17.7,10.66,0.0
2025-01-01 01:45:00,22.8,20.5,12.381,22.8,24.2,14.908,23.5,18.0,10.84,0.0
2025-01-01 02:00:00,22.8,20.5,12.381,22.8,24.2,14.908,23.5,18.0,10.84,0.0
2025-01-01 02:15:00,22.8,20.5,12.381,22.8,24.2,14.908,23.5,17.7,10.659,0.0
2025-01-01 02:30:00,22.8,20.7,12.548,22.6,24.2,14.908,23.5,17.7,10.659,0.0
2025-01-01 02:45:00,22.8,20.5,12.381,22.6,24.2,14.908,23.5,17.6,10.635,0.0
2025-01-01 03:00:00,22.6,20.7,12.548,22.6,24.2,14.906,23.5,17.9,10.785,0.0
2025-01-01 03:15:00,22.6,20.5,12.381,22.6,24.2,14.906,23.5,17.7,10.658,0.0
2025-01-01 03:30:00,22.6,20.5,12.381,22.6,24.2,14.906,23.3,17.7,10.658,0.0
2025-01-01 03:45:00,22.6,20.5,12.381,22.6,24.2,14.906,23.5,17.9,10.784,0.0
2025-01-01 04:00:00,22.6,20.5,12.381,22.6,24.2,14.904,23.5,17.9,10.783,0.0
2025-01-01 04:15:00,22.6,20.5,12.381,22.6,24.2,14.904,23.5,17.3,10.45,0.0
2025-01-01 04:30:00,22.6,20.5,12.381,22.6,24.2,14.904,23.3,17.3,10.45,0.0
