year,onset_time,total_mm,duration_h,API_24h,API_48h,API_72h,SM5_ante,SM50_ante
2016,2016-01-21 21:00:00,24.6,13.5,0.0,0.0,0.0,35.5,29.8
2016,2016-01-27 00:45:00,1.2,1.75,0.0,0.0,0.0,35.8,30.0
2016,2016-03-13 15:15:00,11.4,1.5,0.4,0.4,0.4,35.4,28.4
2016,2016-04-14 17:00:00,1.3,0.5,0.0,0.0,0.0,35.5,26.6
2016,2016-04-16 18:15:00,0.5,0.25,0.0,0.0,1.3,35.4,25.8
2016,2016-04-20 16:00:00,1.1,0.25,0.0,0.0,0.0,35.7,27.0
2016,2016-04-30 17:15:00,4.3,0.5,0.0,0.0,0.0,34.9,26.85
2016,2016-05-03 14:45:00,7.1,2.25,0.2,0.2,4.5,38.2,29.8
2016,2016-05-04 16:45:00,6.0,3.25,2.3,7.3,7.3,38.4,30.9
2016,2016-05-05 14:00:00,10.6,6.75,6.0,13.1,13.3,39.6,31.3
2016,2016-05-07 18:15:00,0.6,1.0,0.0,0.4,11.0,36.85,29.0
2016,2016-05-10 17:30:00,12.8,6.25,0.0,0.0,0.8,36.1,29.3
2016,2016-05-14 20:30:00,7.0,1.25,0.0,0.0,0.0,36.6,28.3
2016,2016-05-16 01:00:00,1.6,0.25,7.0,7.0,7.0,38.0,30.6
2016,2016-05-17 05:30:00,18.2,2.25,0.0,8.6,8.6,39.0,31.1
2016,2016-05-27 17:30:00,2.6,0.25,0.0,0.0,0.0,37.5,29.45
2016,2016-05-28 15:15:00,34.6,8.5,2.6,2.6,2.6,36.9,28.9
2016,2016-05-31 12:15:00,0.8,0.0,0.0,0.0,34.6,37.15,29.6
2016,2016-06-01 16:45:00,0.6,0.0,0.0,0.8,0.8,31.7,36.3
2016,2016-06-02 15:15:00,11.6,0.5,0.6,0.6,1.4,31.3,36.6
2016,2016-06-05 15:45:00,8.8,1.25,0.0,0.0,0.6,30.3,36.4
2016,2016-06-08 15:00:00,5.2,7.25,0.0,0.0,8.8,31.0,36.65
2016,2016-06-09 18:15:00,3.0,13.5,2.0,5.2,5.2,30.7,36.2
2016,2016-06-10 17:30:00,2.6,2.0,3.0,5.8,8.2,30.4,36.4
2016,2016-06-11 01:45:00,3.0,2.75,3.0,5.6,10.8,30.4,35.9
2016,2016-06-11 14:00:00,4.2,3.25,5.6,8.6,13.8,31.1,35.9
2016,2016-06-14 14:30:00,1.0,2.0,0.0,0.2,1.6,31.85,37.0
2016,2016-06-17 15:00:00,2.0,5.75,0.0,0.0,0.8,30.5,36.3
