year,decision,votes,R,V,S,rise5,rise50,std5,std50,nsat5,nsat50,swapped,dups_removed
2016,SWAP,2,S,S,.,2.4622641509433962,2.5830188679245283,2.7611768829601293,4.367996168384312,7,0,SM_5cm<->SM_50cm; EC_5cm<->EC_50cm,96
2017,SWAP,3,S,S,S,8.085333333333333,14.748000000000001,4.36645479647701,7.284050483834503,8,527,SM_5cm<->SM_50cm; EC_5cm<->EC_50cm,0
2018,SWAP,2,S,.,S,7.05068493150685,8.051685393258428,4.398359419913303,2.4973378335652696,1,80,SM_5cm<->SM_50cm; EC_5cm<->EC_50cm,0
2019,SWAP,2,.,S,S,4.006349206349205,3.787096774193547,3.8909610466554048,6.105210533480448,1,38,SM_5cm<->SM_50cm; EC_5cm<->EC_50cm,0
2020,keep,0,.,.,.,8.950000000000001,3.4583333333333326,1.8265240810638936,0.7540684892960422,0,0,none,0
2021,SWAP,2,.,S,S,4.761904761904762,4.104347826086956,0.9349756631139077,3.057172637835588,0,145,SM_5cm<->SM_50cm; EC_5cm<->EC_50cm,0
2022,SWAP,3,S,S,S,7.198809523809523,9.652380952380954,4.699335686998917,5.993752782098402,28,354,SM_5cm<->SM_50cm; RDP_5cm<->RDP_50cm,0
2023,keep,1,.,S,.,5.251063829787234,4.1680851063829785,2.9904403117008274,3.1541634467294157,0,0,none,0
2024,SWAP,3,S,S,S,3.830487804878049,6.091463414634147,3.2158606896700013,3.6468977562736398,9,109,SM_5cm<->SM_50cm; RDP_5cm<->RDP_50cm,0
2025,SWAP,2,S,S,.,3.2722222222222217,5.105555555555555,0.811160943981247,1.4431165434463693,0,0,SM_5cm<->SM_50cm; RDP_5cm<->RDP_50cm,0
