Parameter,Full Name,Unit,Weight,Raw Mean ± Std,Score Mean,Score Median,Score Min - Max,Deficient Samples (%),Scientific Source
pH,Soil pH Reaction,Standard pH,0.15,7.10 ± 0.20,100.00,100.00,100.0 - 100.0,0.0%,FAO Soils Bulletin 64 / ICAR NBSS&LUP Guidelines
EC,Electrical Conductivity,dS/m,0.10,0.14 ± 0.04,100.00,100.00,100.0 - 100.0,0.0%,USDA Handbook 60 / FAO Irrigation & Drainage Paper 39
OC,Soil Organic Carbon,%,0.20,0.24 ± 0.07,29.12,27.60,13.2 - 49.2,100.0%,FAO Soils Bulletin 76 / ICAR Rating Scale
N,Available Nitrogen,kg/ha,0.15,114.32 ± 31.96,28.58,27.00,14.8 - 44.8,100.0%,ICAR Soil Health Card Scheme Norms
P,Available Phosphorus,kg/ha,0.10,10.62 ± 5.65,54.11,64.24,7.6 - 89.8,66.5%,ICAR Soil Health Card Norms / FAO Bulletin 64
K,Available Potassium,kg/ha,0.10,139.41 ± 52.81,64.86,64.71,31.6 - 98.8,72.0%,ICAR Soil Health Card Norms / IFA Guidelines
S,Available Sulphur,ppm,0.04,14.18 ± 1.20,100.00,100.00,100.0 - 100.0,0.0%,ICAR Micronutrient & Secondary Nutrient Compendium
Zn,Available Zinc,ppm,0.04,0.98 ± 0.22,99.80,100.00,73.3 - 100.0,0.0%,ICAR AICRP on Micro & Secondary Nutrients (DTPA)
B,Available Boron,ppm,0.03,0.69 ± 0.24,96.14,100.00,56.0 - 100.0,3.5%,ICAR AICRP on Micro & Secondary Nutrients (Hot Water)
Fe,Available Iron,ppm,0.03,7.94 ± 0.91,100.00,100.00,100.0 - 100.0,0.0%,ICAR AICRP on Micro & Secondary Nutrients (DTPA)
Mn,Available Manganese,ppm,0.03,2.15 ± 0.32,89.28,100.00,68.8 - 100.0,3.1%,ICAR AICRP on Micro & Secondary Nutrients (DTPA)
Cu,Available Copper,ppm,0.03,0.46 ± 0.17,99.69,100.00,72.0 - 100.0,0.0%,ICAR AICRP on Micro & Secondary Nutrients (DTPA)
